Date,Dividends,Stock Splits
2004-01-05 00:00:00-05:00,0.0,2.0
2005-09-26 00:00:00-04:00,0.0,1.5
2006-03-22 00:00:00-05:00,0.06,0.0
2006-06-21 00:00:00-04:00,0.06,0.0
2006-09-20 00:00:00-04:00,0.06,0.0
2006-12-20 00:00:00-05:00,0.06,0.0
2007-03-21 00:00:00-04:00,0.06,0.0
2007-06-20 00:00:00-04:00,0.06,0.0
2007-09-19 00:00:00-04:00,0.06,0.0
2007-12-19 00:00:00-05:00,0.06,0.0
2008-03-18 00:00:00-04:00,0.06,0.0
2008-06-18 00:00:00-04:00,0.06,0.0
2008-09-17 00:00:00-04:00,0.06,0.0
2008-12-23 00:00:00-05:00,0.06,0.0
2009-03-25 00:00:00-04:00,0.06,0.0
2009-06-24 00:00:00-04:00,0.06,0.0
2009-09-23 00:00:00-04:00,0.06,0.0
2009-12-22 00:00:00-05:00,0.06,0.0
2010-03-24 00:00:00-04:00,0.06,0.0
2010-06-23 00:00:00-04:00,0.06,0.0
2010-09-22 00:00:00-04:00,0.06,0.0
2010-12-21 00:00:00-05:00,0.06,0.0
2011-03-23 00:00:00-04:00,0.06,0.0
2011-06-22 00:00:00-04:00,0.06,0.0
2011-09-21 00:00:00-04:00,0.06,0.0
2011-12-21 00:00:00-05:00,0.06,0.0
2012-03-21 00:00:00-04:00,0.06,0.0
2012-06-20 00:00:00-04:00,0.06,0.0
2012-09-19 00:00:00-04:00,0.06,0.0
2012-12-19 00:00:00-05:00,0.06,0.0
2013-03-20 00:00:00-04:00,0.06,0.0
2013-06-19 00:00:00-04:00,0.06,0.0
2013-09-18 00:00:00-04:00,0.06,0.0
2013-12-18 00:00:00-05:00,0.06,0.0
2014-03-19 00:00:00-04:00,0.06,0.0
2014-06-16 00:00:00-04:00,0.06,0.0
2014-09-17 00:00:00-04:00,0.06,0.0
2014-12-23 00:00:00-05:00,0.06,0.0
2015-03-18 00:00:00-04:00,0.06,0.0
2015-06-17 00:00:00-04:00,0.06,0.0
2015-09-16 00:00:00-04:00,0.06,0.0
2015-12-22 00:00:00-05:00,0.06,0.0
2016-03-16 00:00:00-04:00,0.06,0.0
2016-06-15 00:00:00-04:00,0.06,0.0
2016-09-21 00:00:00-04:00,0.06,0.0
2016-12-21 00:00:00-05:00,0.06,0.0
2017-03-22 00:00:00-04:00,0.06,0.0
2017-06-21 00:00:00-04:00,0.06,0.0
2017-09-21 00:00:00-04:00,0.06,0.0
2017-12-21 00:00:00-05:00,0.06,0.0
2018-03-22 00:00:00-04:00,0.06,0.0
2018-06-21 00:00:00-04:00,0.06,0.0
2018-09-20 00:00:00-04:00,0.06,0.0
2018-12-20 00:00:00-05:00,0.06,0.0
2019-03-21 00:00:00-04:00,0.06,0.0
2019-06-20 00:00:00-04:00,0.06,0.0
2019-09-19 00:00:00-04:00,0.06,0.0
2019-12-19 00:00:00-05:00,0.06,0.0
2020-03-19 00:00:00-04:00,0.25,0.0
2020-06-18 00:00:00-04:00,0.25,0.0
2020-09-17 00:00:00-04:00,0.25,0.0
2020-12-17 00:00:00-05:00,0.25,0.0
2021-03-18 00:00:00-04:00,0.25,0.0
2021-06-17 00:00:00-04:00,1.0,0.0
2021-09-16 00:00:00-04:00,1.0,0.0
2021-12-16 00:00:00-05:00,1.0,0.0
2022-03-17 00:00:00-04:00,1.5,0.0
2022-06-16 00:00:00-04:00,1.5,0.0
2022-09-15 00:00:00-04:00,1.5,0.0
